strikePrice,expiryDate,PE,CE
12000,28-Sep-2023,"{'strikePrice': 12000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE12000.00', 'openInterest': 2, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 2.35, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 15700, 'totalSellQuantity': 2400, 'bidQty': 1000, 'bidprice': 1.1, 'askQty': 1000, 'askPrice': 2.95, 'underlyingValue': 19435.3}","{'strikePrice': 12000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE12000.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 7850, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 2000, 'totalSellQuantity': 4200, 'bidQty': 1750, 'bidprice': 7000.5, 'askQty': 1450, 'askPrice': 8016.85, 'underlyingValue': 19435.3}"
13000,28-Sep-2023,"{'strikePrice': 13000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE13000.00', 'openInterest': 5534, 'changeinOpenInterest': -15, 'pchangeinOpenInterest': -0.27031897639214275, 'totalTradedVolume': 418, 'impliedVolatility': 54.04, 'lastPrice': 1.85, 'change': 0.050000000000000044, 'pChange': 2.77777777777778, 'totalBuyQuantity': 39550, 'totalSellQuantity': 14000, 'bidQty': 1000, 'bidprice': 1.6, 'askQty': 100, 'askPrice': 1.9, 'underlyingValue': 19435.3}","{'strikePrice': 13000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE13000.00', 'openInterest': 10474, 'changeinOpenInterest': -2, 'pchangeinOpenInterest': -0.019091256204658267, 'totalTradedVolume': 12, 'impliedVolatility': 0, 'lastPrice': 6451.4, 'change': 86.69999999999982, 'pChange': 1.3622008892799318, 'totalBuyQuantity': 3800, 'totalSellQuantity': 3000, 'bidQty': 300, 'bidprice': 6453.95, 'askQty': 250, 'askPrice': 6467.15, 'underlyingValue': 19435.3}"
14000,28-Sep-2023,"{'strikePrice': 14000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE14000.00', 'openInterest': 504, 'changeinOpenInterest': 75, 'pchangeinOpenInterest': 17.482517482517483, 'totalTradedVolume': 237, 'impliedVolatility': 45.97, 'lastPrice': 2.3, 'change': -0.9500000000000002, 'pChange': -29.230769230769237, 'totalBuyQuantity': 31950, 'totalSellQuantity': 3400, 'bidQty': 200, 'bidprice': 2.3, 'askQty': 100, 'askPrice': 2.7, 'underlyingValue': 19435.3}","{'strikePrice': 14000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE14000.00', 'openInterest': 201, 'changeinOpenInterest': 1, 'pchangeinOpenInterest': 0.5, 'totalTradedVolume': 1, 'impliedVolatility': 0, 'lastPrice': 5322.85, 'change': -47.599999999999454, 'pChange': -0.8863316854267231, 'totalBuyQuantity': 5200, 'totalSellQuantity': 3050, 'bidQty': 200, 'bidprice': 5447.6, 'askQty': 300, 'askPrice': 5485.75, 'underlyingValue': 19435.3}"
15000,28-Sep-2023,"{'strikePrice': 15000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE15000.00', 'openInterest': 3959, 'changeinOpenInterest': 767, 'pchangeinOpenInterest': 24.028822055137844, 'totalTradedVolume': 1249, 'impliedVolatility': 38.28, 'lastPrice': 3, 'change': -0.7000000000000002, 'pChange': -18.918918918918923, 'totalBuyQuantity': 34100, 'totalSellQuantity': 10150, 'bidQty': 300, 'bidprice': 2.8, 'askQty': 2300, 'askPrice': 3, 'underlyingValue': 19435.3}","{'strikePrice': 15000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE15000.00', 'openInterest': 2507, 'changeinOpenInterest': -1, 'pchangeinOpenInterest': -0.03987240829346093, 'totalTradedVolume': 6, 'impliedVolatility': 0, 'lastPrice': 4487, 'change': 104, 'pChange': 2.372804015514488, 'totalBuyQuantity': 5350, 'totalSellQuantity': 4250, 'bidQty': 50, 'bidprice': 4474.15, 'askQty': 450, 'askPrice': 4496.75, 'underlyingValue': 19435.3}"
16000,28-Sep-2023,"{'strikePrice': 16000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE16000.00', 'openInterest': 11908, 'changeinOpenInterest': 40, 'pchangeinOpenInterest': 0.33704078193461406, 'totalTradedVolume': 1269, 'impliedVolatility': 30.82, 'lastPrice': 3.9, 'change': -0.3500000000000001, 'pChange': -8.235294117647062, 'totalBuyQuantity': 34750, 'totalSellQuantity': 11450, 'bidQty': 100, 'bidprice': 3.5, 'askQty': 200, 'askPrice': 3.9, 'underlyingValue': 19435.3}","{'strikePrice': 16000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE16000.00', 'openInterest': 6131, 'changeinOpenInterest': -12, 'pchangeinOpenInterest': -0.19534429431873676, 'totalTradedVolume': 28, 'impliedVolatility': 0, 'lastPrice': 3507.45, 'change': 97.94999999999982, 'pChange': 2.8728552573691104, 'totalBuyQuantity': 5550, 'totalSellQuantity': 4850, 'bidQty': 550, 'bidprice': 3483.4, 'askQty': 300, 'askPrice': 3501.75, 'underlyingValue': 19435.3}"
17000,28-Sep-2023,"{'strikePrice': 17000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17000.00', 'openInterest': 30129, 'changeinOpenInterest': -147, 'pchangeinOpenInterest': -0.48553309552120494, 'totalTradedVolume': 3052, 'impliedVolatility': 22.88, 'lastPrice': 4.65, 'change': -0.39999999999999947, 'pChange': -7.920792079207911, 'totalBuyQuantity': 46250, 'totalSellQuantity': 22000, 'bidQty': 100, 'bidprice': 4.5, 'askQty': 1850, 'askPrice': 4.6, 'underlyingValue': 19435.3}","{'strikePrice': 17000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17000.00', 'openInterest': 11766, 'changeinOpenInterest': 41, 'pchangeinOpenInterest': 0.34968017057569295, 'totalTradedVolume': 383, 'impliedVolatility': 0, 'lastPrice': 2497.7, 'change': 94.34999999999991, 'pChange': 3.925770278985579, 'totalBuyQuantity': 6600, 'totalSellQuantity': 4650, 'bidQty': 450, 'bidprice': 2500.7, 'askQty': 50, 'askPrice': 2510, 'underlyingValue': 19435.3}"
17450,28-Sep-2023,"{'strikePrice': 17450, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17450.00', 'openInterest': 205, 'changeinOpenInterest': 88, 'pchangeinOpenInterest': 75.21367521367522, 'totalTradedVolume': 563, 'impliedVolatility': 19.16, 'lastPrice': 4.55, 'change': -1.2999999999999998, 'pChange': -22.22222222222222, 'totalBuyQuantity': 26000, 'totalSellQuantity': 3400, 'bidQty': 400, 'bidprice': 4.5, 'askQty': 250, 'askPrice': 4.55, 'underlyingValue': 19435.3}","{'strikePrice': 17450, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17450.00', 'openInterest': 11, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1940, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6050, 'totalSellQuantity': 6050, 'bidQty': 1500, 'bidprice': 1890.7, 'askQty': 1500, 'askPrice': 2158.55, 'underlyingValue': 19435.3}"
17500,28-Sep-2023,"{'strikePrice': 17500, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17500.00', 'openInterest': 15482, 'changeinOpenInterest': 201, 'pchangeinOpenInterest': 1.3153589424775864, 'totalTradedVolume': 11800, 'impliedVolatility': 18.94, 'lastPrice': 4.9, 'change': -0.34999999999999964, 'pChange': -6.66666666666666, 'totalBuyQuantity': 58650, 'totalSellQuantity': 18150, 'bidQty': 200, 'bidprice': 4.55, 'askQty': 1250, 'askPrice': 4.8, 'underlyingValue': 19435.3}","{'strikePrice': 17500, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17500.00', 'openInterest': 3750, 'changeinOpenInterest': 205, 'pchangeinOpenInterest': 5.782792665726375, 'totalTradedVolume': 454, 'impliedVolatility': 0, 'lastPrice': 2014.35, 'change': 99.69999999999982, 'pChange': 5.207218029404842, 'totalBuyQuantity': 5850, 'totalSellQuantity': 5800, 'bidQty': 150, 'bidprice': 2008.7, 'askQty': 50, 'askPrice': 2014.75, 'underlyingValue': 19435.3}"
17550,28-Sep-2023,"{'strikePrice': 17550, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17550.00', 'openInterest': 133, 'changeinOpenInterest': 96, 'pchangeinOpenInterest': 259.4594594594595, 'totalTradedVolume': 179, 'impliedVolatility': 18.63, 'lastPrice': 5.1, 'change': -0.6500000000000004, 'pChange': -11.304347826086962, 'totalBuyQuantity': 39350, 'totalSellQuantity': 750, 'bidQty': 800, 'bidprice': 4.7, 'askQty': 50, 'askPrice': 5.95, 'underlyingValue': 19435.3}","{'strikePrice': 17550, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17550.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4800, 'totalSellQuantity': 4800, 'bidQty': 250, 'bidprice': 1927.9, 'askQty': 250, 'askPrice': 1991.2, 'underlyingValue': 19435.3}"
17600,28-Sep-2023,"{'strikePrice': 17600, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17600.00', 'openInterest': 783, 'changeinOpenInterest': 215, 'pchangeinOpenInterest': 37.852112676056336, 'totalTradedVolume': 1004, 'impliedVolatility': 18.52, 'lastPrice': 5.75, 'change': -0.75, 'pChange': -11.538461538461538, 'totalBuyQuantity': 51000, 'totalSellQuantity': 1300, 'bidQty': 1400, 'bidprice': 5.4, 'askQty': 300, 'askPrice': 9.8, 'underlyingValue': 19435.3}","{'strikePrice': 17600, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17600.00', 'openInterest': 466, 'changeinOpenInterest': 2, 'pchangeinOpenInterest': 0.43103448275862066, 'totalTradedVolume': 14, 'impliedVolatility': 0, 'lastPrice': 1909, 'change': 87.29999999999995, 'pChange': 4.7922270406762895, 'totalBuyQuantity': 4600, 'totalSellQuantity': 4650, 'bidQty': 50, 'bidprice': 1890, 'askQty': 50, 'askPrice': 1937.85, 'underlyingValue': 19435.3}"
17650,28-Sep-2023,"{'strikePrice': 17650, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17650.00', 'openInterest': 102, 'changeinOpenInterest': 72, 'pchangeinOpenInterest': 240, 'totalTradedVolume': 272, 'impliedVolatility': 18.23, 'lastPrice': 6.05, 'change': -1.1000000000000005, 'pChange': -15.38461538461539, 'totalBuyQuantity': 42900, 'totalSellQuantity': 300, 'bidQty': 450, 'bidprice': 5.75, 'askQty': 300, 'askPrice': 9.8, 'underlyingValue': 19435.3}","{'strikePrice': 17650, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17650.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1928.8, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6050, 'totalSellQuantity': 4550, 'bidQty': 3250, 'bidprice': 1650.2, 'askQty': 2750, 'askPrice': 1955.1, 'underlyingValue': 19435.3}"
17700,28-Sep-2023,"{'strikePrice': 17700, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17700.00', 'openInterest': 664, 'changeinOpenInterest': 15, 'pchangeinOpenInterest': 2.3112480739599386, 'totalTradedVolume': 1662, 'impliedVolatility': 17.83, 'lastPrice': 6.1, 'change': -0.9500000000000002, 'pChange': -13.475177304964541, 'totalBuyQuantity': 49850, 'totalSellQuantity': 1550, 'bidQty': 900, 'bidprice': 5.65, 'askQty': 200, 'askPrice': 9.45, 'underlyingValue': 19435.3}","{'strikePrice': 17700, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17700.00', 'openInterest': 356, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1726.9, 'change': 6.7000000000000455, 'pChange': 0.3894895942332313, 'totalBuyQuantity': 4950, 'totalSellQuantity': 4900, 'bidQty': 50, 'bidprice': 1803.35, 'askQty': 50, 'askPrice': 1833.25, 'underlyingValue': 19435.3}"
17750,28-Sep-2023,"{'strikePrice': 17750, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17750.00', 'openInterest': 85, 'changeinOpenInterest': 7, 'pchangeinOpenInterest': 8.974358974358974, 'totalTradedVolume': 173, 'impliedVolatility': 17.77, 'lastPrice': 7, 'change': -0.7999999999999998, 'pChange': -10.256410256410255, 'totalBuyQuantity': 41350, 'totalSellQuantity': 3850, 'bidQty': 800, 'bidprice': 6.5, 'askQty': 1800, 'askPrice': 12.7, 'underlyingValue': 19435.3}","{'strikePrice': 17750, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17750.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1851.4, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6300, 'totalSellQuantity': 4800, 'bidQty': 1500, 'bidprice': 1599.3, 'askQty': 2750, 'askPrice': 1848.3, 'underlyingValue': 19435.3}"
17800,28-Sep-2023,"{'strikePrice': 17800, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17800.00', 'openInterest': 2422, 'changeinOpenInterest': 1, 'pchangeinOpenInterest': 0.041305245766212306, 'totalTradedVolume': 2944, 'impliedVolatility': 17.48, 'lastPrice': 7.4, 'change': -1.049999999999999, 'pChange': -12.426035502958568, 'totalBuyQuantity': 53450, 'totalSellQuantity': 4050, 'bidQty': 400, 'bidprice': 6.3, 'askQty': 300, 'askPrice': 8.9, 'underlyingValue': 19435.3}","{'strikePrice': 17800, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17800.00', 'openInterest': 219, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 6, 'impliedVolatility': 0, 'lastPrice': 1714.55, 'change': 89.75, 'pChange': 5.523756770064008, 'totalBuyQuantity': 6200, 'totalSellQuantity': 5800, 'bidQty': 50, 'bidprice': 1704.65, 'askQty': 50, 'askPrice': 1723.3, 'underlyingValue': 19435.3}"
17850,28-Sep-2023,"{'strikePrice': 17850, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17850.00', 'openInterest': 155, 'changeinOpenInterest': 6, 'pchangeinOpenInterest': 4.026845637583893, 'totalTradedVolume': 133, 'impliedVolatility': 17.36, 'lastPrice': 8.3, 'change': -1.5, 'pChange': -15.30612244897959, 'totalBuyQuantity': 46600, 'totalSellQuantity': 2050, 'bidQty': 400, 'bidprice': 7.65, 'askQty': 300, 'askPrice': 13.8, 'underlyingValue': 19435.3}","{'strikePrice': 17850, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17850.00', 'openInterest': 3, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1560, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6050, 'totalSellQuantity': 4550, 'bidQty': 1500, 'bidprice': 1511.25, 'askQty': 1000, 'askPrice': 1741.5, 'underlyingValue': 19435.3}"
17900,28-Sep-2023,"{'strikePrice': 17900, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17900.00', 'openInterest': 2530, 'changeinOpenInterest': -502, 'pchangeinOpenInterest': -16.556728232189975, 'totalTradedVolume': 4908, 'impliedVolatility': 16.85, 'lastPrice': 8.1, 'change': -1.950000000000001, 'pChange': -19.402985074626873, 'totalBuyQuantity': 62450, 'totalSellQuantity': 5650, 'bidQty': 50, 'bidprice': 8.1, 'askQty': 50, 'askPrice': 10.85, 'underlyingValue': 19435.3}","{'strikePrice': 17900, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17900.00', 'openInterest': 352, 'changeinOpenInterest': 1, 'pchangeinOpenInterest': 0.2849002849002849, 'totalTradedVolume': 18, 'impliedVolatility': 0, 'lastPrice': 1603.6, 'change': 113.59999999999991, 'pChange': 7.624161073825498, 'totalBuyQuantity': 5850, 'totalSellQuantity': 6150, 'bidQty': 50, 'bidprice': 1610.05, 'askQty': 200, 'askPrice': 1621.2, 'underlyingValue': 19435.3}"
17950,28-Sep-2023,"{'strikePrice': 17950, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17950.00', 'openInterest': 201, 'changeinOpenInterest': 37, 'pchangeinOpenInterest': 22.5609756097561, 'totalTradedVolume': 238, 'impliedVolatility': 16.75, 'lastPrice': 9.2, 'change': -2.1000000000000014, 'pChange': -18.58407079646019, 'totalBuyQuantity': 47850, 'totalSellQuantity': 9100, 'bidQty': 50, 'bidprice': 8.7, 'askQty': 50, 'askPrice': 9, 'underlyingValue': 19435.3}","{'strikePrice': 17950, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17950.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6500, 'totalSellQuantity': 5000, 'bidQty': 1500, 'bidprice': 1489.05, 'askQty': 1000, 'askPrice': 1644.05, 'underlyingValue': 19435.3}"
18000,28-Sep-2023,"{'strikePrice': 18000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18000.00', 'openInterest': 53026, 'changeinOpenInterest': 290, 'pchangeinOpenInterest': 0.5499089805825242, 'totalTradedVolume': 22185, 'impliedVolatility': 16.27, 'lastPrice': 9.1, 'change': -3.5, 'pChange': -27.77777777777778, 'totalBuyQuantity': 103400, 'totalSellQuantity': 21100, 'bidQty': 500, 'bidprice': 9.2, 'askQty': 750, 'askPrice': 9.8, 'underlyingValue': 19435.3}","{'strikePrice': 18000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18000.00', 'openInterest': 23840, 'changeinOpenInterest': -70, 'pchangeinOpenInterest': -0.2927645336679214, 'totalTradedVolume': 777, 'impliedVolatility': 0, 'lastPrice': 1524.55, 'change': 98.84999999999991, 'pChange': 6.933436206775613, 'totalBuyQuantity': 7800, 'totalSellQuantity': 6450, 'bidQty': 200, 'bidprice': 1517.35, 'askQty': 100, 'askPrice': 1525, 'underlyingValue': 19435.3}"
18050,28-Sep-2023,"{'strikePrice': 18050, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18050.00', 'openInterest': 130, 'changeinOpenInterest': 15, 'pchangeinOpenInterest': 13.043478260869565, 'totalTradedVolume': 471, 'impliedVolatility': 15.94, 'lastPrice': 9.4, 'change': -4.949999999999999, 'pChange': -34.49477351916376, 'totalBuyQuantity': 49450, 'totalSellQuantity': 13450, 'bidQty': 50, 'bidprice': 9.35, 'askQty': 100, 'askPrice': 9.45, 'underlyingValue': 19435.3}","{'strikePrice': 18050, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18050.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 5350, 'totalSellQuantity': 5350, 'bidQty': 200, 'bidprice': 1432.35, 'askQty': 150, 'askPrice': 1506.8, 'underlyingValue': 19435.3}"
18100,28-Sep-2023,"{'strikePrice': 18100, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18100.00', 'openInterest': 5393, 'changeinOpenInterest': -1300, 'pchangeinOpenInterest': -19.423278051695803, 'totalTradedVolume': 6970, 'impliedVolatility': 15.51, 'lastPrice': 9.05, 'change': -4.25, 'pChange': -31.954887218045116, 'totalBuyQuantity': 65450, 'totalSellQuantity': 16150, 'bidQty': 450, 'bidprice': 9.6, 'askQty': 1550, 'askPrice': 9.65, 'underlyingValue': 19435.3}","{'strikePrice': 18100, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18100.00', 'openInterest': 364, 'changeinOpenInterest': -9, 'pchangeinOpenInterest': -2.4128686327077746, 'totalTradedVolume': 20, 'impliedVolatility': 0, 'lastPrice': 1428.4, 'change': 106.90000000000009, 'pChange': 8.089292470677268, 'totalBuyQuantity': 7800, 'totalSellQuantity': 4800, 'bidQty': 400, 'bidprice': 1409.55, 'askQty': 700, 'askPrice': 1425.65, 'underlyingValue': 19435.3}"
18150,28-Sep-2023,"{'strikePrice': 18150, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18150.00', 'openInterest': 656, 'changeinOpenInterest': 104, 'pchangeinOpenInterest': 18.840579710144926, 'totalTradedVolume': 1045, 'impliedVolatility': 15.34, 'lastPrice': 10.6, 'change': -4.550000000000001, 'pChange': -30.033003300330037, 'totalBuyQuantity': 63950, 'totalSellQuantity': 14250, 'bidQty': 50, 'bidprice': 10.5, 'askQty': 1500, 'askPrice': 10.65, 'underlyingValue': 19435.3}","{'strikePrice': 18150, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18150.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 7050, 'totalSellQuantity': 5550, 'bidQty': 1700, 'bidprice': 1266.8, 'askQty': 200, 'askPrice': 1410.25, 'underlyingValue': 19435.3}"
18200,28-Sep-2023,"{'strikePrice': 18200, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18200.00', 'openInterest': 11080, 'changeinOpenInterest': 959, 'pchangeinOpenInterest': 9.475348285742516, 'totalTradedVolume': 15128, 'impliedVolatility': 15, 'lastPrice': 11.15, 'change': -5.4, 'pChange': -32.62839879154079, 'totalBuyQuantity': 79500, 'totalSellQuantity': 15050, 'bidQty': 650, 'bidprice': 11, 'askQty': 50, 'askPrice': 11.15, 'underlyingValue': 19435.3}","{'strikePrice': 18200, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18200.00', 'openInterest': 465, 'changeinOpenInterest': -2, 'pchangeinOpenInterest': -0.4282655246252677, 'totalTradedVolume': 16, 'impliedVolatility': 0, 'lastPrice': 1317.05, 'change': 85.34999999999991, 'pChange': 6.9294471056263625, 'totalBuyQuantity': 8000, 'totalSellQuantity': 5800, 'bidQty': 500, 'bidprice': 1313.45, 'askQty': 250, 'askPrice': 1327.35, 'underlyingValue': 19435.3}"
